update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean
11,0.4472213387489319,0.5864401459693909,1.0017088651657104,0.21223706007003784,0.28224876523017883,0.4915158450603485,0.2020704746246338,29,0.09339401125907898,215,0.00574725866317749,48.678558349609375,945.6785888671875,3117,3117,0.01953125,0.0,0.01953125,0.25963541865348816,1e-05,0.015528334304690361,4.2241902351379395,5.228400707244873,0.3127673864364624,-0.05669369921088219,0.8163048624992371,0.2640981674194336
12,0.4512345790863037,0.5877659320831299,0.9623609781265259,0.21345935761928558,0.2814342975616455,0.491445392370224,0.20208358764648438,23,0.0930253267288208,303,0.004489481449127197,52.49209213256836,1084.5062255859375,3110,3110,0.020833333333333332,0.0,0.020833333333333332,0.31458336114883423,1e-05,0.02149619534611702,4.35527229309082,5.223973751068115,0.32637736201286316,-0.055261630564928055,0.9231402277946472,0.1908923089504242
13,0.4465430974960327,0.5861303806304932,1.140009880065918,0.21040034294128418,0.28053784370422363,0.4810362756252289,0.20212353765964508,31,0.10368633270263672,218,0.004868447780609131,46.58795928955078,1330.431884765625,3099,3099,0.0234375,0.0,0.0234375,0.2591145932674408,1e-05,0.01559310033917427,4.159610748291016,5.221561431884766,0.2704950273036957,-0.05748346075415611,0.8805297613143921,0.2166374921798706
14,0.4469637870788574,0.5940259695053101,1.001289963722229,0.2140316516160965,0.28360041975975037,0.44695448875427246,0.20211616158485413,28,0.10906487703323364,205,0.0051460862159729,50.30718231201172,778.207763671875,3219,3219,0.01953125,0.0,0.01953125,0.2740885615348816,1e-05,0.016507113352417946,4.372183799743652,5.214613437652588,0.2791924476623535,-0.05428638681769371,0.9266683459281921,0.2042362540960312
15,0.45356935262680054,0.5936333537101746,0.9616830348968506,0.2157016396522522,0.28952309489250183,0.49770843982696533,0.2022208720445633,26,0.1160942018032074,190,0.004712581634521484,50.820953369140625,983.1466674804688,3148,3148,0.018880208333333332,0.0,0.018880208333333332,0.26315104961395264,1e-05,0.0168989896774292,4.092731952667236,5.19514274597168,0.20470774173736572,-0.056468166410923004,0.8880845308303833,0.20516227185726166
16,0.45274618268013,0.5928147435188293,0.9332239627838135,0.2208660989999771,0.29412344098091125,0.4618978500366211,0.20236679911613464,29,0.08687743544578552,226,0.0038738250732421875,46.62422561645508,885.78125,3221,3221,0.022135416666666668,0.0,0.022135416666666668,0.2665364742279053,1e-05,0.017031311988830566,4.2030487060546875,5.176316738128662,0.24203483760356903,-0.05100938677787781,0.9446910619735718,0.17015135288238525
17,0.44895219802856445,0.5944944024085999,1.1269922256469727,0.21696943044662476,0.2885320484638214,0.49395477771759033,0.20249995589256287,31,0.12776002287864685,136,0.0037260055541992188,44.61314392089844,1055.557861328125,3241,3241,0.01953125,0.0,0.01953125,0.28541669249534607,1e-05,0.018578682094812393,3.9583325386047363,5.165690898895264,0.13770078122615814,-0.058133430778980255,0.8571025729179382,0.21009230613708496
18,0.4516623914241791,0.5908627510070801,0.9751096367835999,0.21947535872459412,0.2920629680156708,0.4800602197647095,0.2025178074836731,20,0.1458728015422821,198,0.004350423812866211,45.5071907043457,1246.4700927734375,3199,3199,0.022135416666666668,0.0,0.022135416666666668,0.26770836114883423,1e-05,0.016164477914571762,4.221131801605225,5.160952091217041,0.14273585379123688,-0.051962774246931076,0.9206570982933044,0.19503256678581238
19,0.45343682169914246,0.6006643772125244,0.9853348135948181,0.21927261352539062,0.29670101404190063,0.5251972675323486,0.20256134867668152,41,0.13227182626724243,178,0.00408625602722168,47.91883850097656,932.2338256835938,3325,3325,0.016927083333333332,0.0,0.016927083333333332,0.29570314288139343,1e-05,0.01827917993068695,3.9386165142059326,5.160534858703613,0.10213535279035568,-0.05787456035614014,0.8828755617141724,0.1901964396238327
20,0.45384395122528076,0.5946961045265198,0.9251810312271118,0.2232983261346817,0.2975192070007324,0.491890013217926,0.20252785086631775,30,0.10657891631126404,192,0.003922879695892334,47.35314178466797,1332.5062255859375,3270,3270,0.0234375,0.0,0.0234375,0.27460938692092896,1e-05,0.017703140154480934,4.0661749839782715,5.164406776428223,0.10186593979597092,-0.05517962574958801,0.9929541349411011,0.16124403476715088
