controller,action_mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall,classification
zero,legacy_raw,6,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.3200700283050537,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.437307357788086,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,12,48,0.24,left_hip_roll_link,unconfirmed,3.3200700283050537,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,12,48,0.24,left_ankle_roll_link,unconfirmed,172.5183868408203,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,12,48,0.24,right_hip_roll_link,unconfirmed,20.437307357788086,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,12,48,0.24,right_ankle_roll_link,unconfirmed,172.79901123046875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,left_wrist_yaw_link,unconfirmed,3.3237457275390625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,right_wrist_yaw_link,unconfirmed,20.494661331176758,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,left_hip_roll_link,unconfirmed,3.3237457275390625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,left_ankle_roll_link,unconfirmed,172.607421875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,right_hip_roll_link,unconfirmed,20.494661331176758,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,12,48,0.24,right_ankle_roll_link,unconfirmed,172.4071502685547,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,13,52,0.26,left_ankle_roll_link,unconfirmed,167.09812927246094,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,13,52,0.26,right_ankle_roll_link,unconfirmed,167.44520568847656,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,13,52,0.26,left_ankle_roll_link,unconfirmed,167.28750610351562,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,13,52,0.26,right_ankle_roll_link,unconfirmed,167.86260986328125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,13,52,0.26,left_ankle_roll_link,unconfirmed,167.48541259765625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,13,52,0.26,right_ankle_roll_link,unconfirmed,167.90298461914062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,13,52,0.26,left_ankle_roll_link,unconfirmed,167.66807556152344,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,13,52,0.26,right_ankle_roll_link,unconfirmed,167.94541931152344,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,13,52,0.26,left_ankle_roll_link,unconfirmed,167.47476196289062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,13,52,0.26,right_ankle_roll_link,unconfirmed,167.8825225830078,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,13,52,0.26,left_ankle_roll_link,unconfirmed,167.61724853515625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,13,52,0.26,right_ankle_roll_link,unconfirmed,167.73126220703125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,13,52,0.26,left_ankle_roll_link,unconfirmed,167.00808715820312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,13,52,0.26,right_ankle_roll_link,unconfirmed,167.60604858398438,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,13,52,0.26,left_ankle_roll_link,unconfirmed,167.18675231933594,[],False,False,unconfirmed_gpu_filter
