run,episode_id,control_step,physics_step,sim_time,link,sensor_id,robot_id,current_force_N,history_max_N,terminal_control_step,root_height,geometry_min_z,contact_object,contact_points,contact_separations,evidence,first_terminal_base_contact
nominal_root_vel_verified,0,42,165,0.8250000000000001,left_wrist_yaw_link,7,22,223.4290313720703,223.4290313720703,42,0.37412911653518677,0.0008555538952350616,未确认,[],[],net force only,True
final_v2,7,3,12,0.06,right_wrist_yaw_link,14,23,478.1178894042969,478.1178894042969,3,0.8054917454719543,0.5942979566752911,未确认,[],[],net force only,True
final_v2,7,3,12,0.06,right_hip_roll_link,25,17,478.1178894042969,478.1178894042969,3,0.8054917454719543,0.4094590060412884,未确认,[],[],net force only,True
final_v2,1,4,15,0.075,right_wrist_yaw_link,14,23,286.49713134765625,286.49713134765625,4,0.8014673590660095,0.587513517588377,未确认,[],[],net force only,True
final_v2,1,4,15,0.075,right_hip_roll_link,25,17,286.49713134765625,286.49713134765625,4,0.8014673590660095,0.4113619141280651,未确认,[],[],net force only,True
final_v2,5,4,16,0.08,right_wrist_yaw_link,14,23,388.9920959472656,388.9920959472656,4,0.7947345972061157,0.5769574753940105,未确认,[],[],net force only,True
final_v2,5,4,16,0.08,right_hip_roll_link,25,17,388.9920959472656,388.9920959472656,4,0.7947345972061157,0.39932138845324516,未确认,[],[],net force only,True
final_v2,0,5,18,0.09,left_wrist_yaw_link,7,22,176.3675537109375,176.3675537109375,5,0.7985435724258423,0.5696479789912701,未确认,[],[],net force only,True
final_v2,0,5,18,0.09,left_hip_roll_link,19,16,176.3675537109375,176.3675537109375,5,0.7985435724258423,0.40847934409976006,未确认,[],[],net force only,True
final_v2,2,5,20,0.1,right_wrist_yaw_link,14,23,303.0284118652344,303.0284118652344,5,0.7944437861442566,0.569381307810545,未确认,[],[],net force only,True
final_v2,2,5,20,0.1,right_hip_roll_link,25,17,303.0284118652344,303.0284118652344,5,0.7944437861442566,0.40023286268115044,未确认,[],[],net force only,True
final_v2,3,4,13,0.065,right_wrist_yaw_link,14,23,300.26446533203125,300.26446533203125,5,0.7967666387557983,0.5939169637858868,未确认,[],[],net force only,True
final_v2,3,4,13,0.065,right_hip_roll_link,25,17,300.26446533203125,300.26446533203125,5,0.7967666387557983,0.4136616699397564,未确认,[],[],net force only,True
final_v2,6,5,17,0.085,right_wrist_yaw_link,14,23,196.3715057373047,196.3715057373047,6,0.8008624911308289,0.5919718854129314,未确认,[],[],net force only,True
final_v2,6,5,17,0.085,right_hip_roll_link,25,17,196.3715057373047,196.3715057373047,6,0.8008624911308289,0.4130656532943249,未确认,[],[],net force only,True
final_v2,4,10,39,0.195,left_wrist_yaw_link,7,22,133.9934844970703,133.9934844970703,10,0.7835578918457031,0.5318901650607586,未确认,[],[],net force only,True
final_v2,4,10,39,0.195,left_hip_roll_link,19,16,133.9934844970703,133.9934844970703,10,0.7835578918457031,0.42364973947405815,未确认,[],[],net force only,True
zero_v2,0,10,40,0.2,left_wrist_yaw_link,7,22,50.87089920043945,50.87089920043945,10,0.7791374921798706,0.5588654391467571,未确认,[],[],net force only,True
zero_v2,0,10,40,0.2,left_hip_roll_link,19,16,50.87089920043945,50.87089920043945,10,0.7791374921798706,0.3984654061496258,未确认,[],[],net force only,True
zero_v2,5,10,38,0.19,right_wrist_yaw_link,14,23,98.01532745361328,98.01532745361328,10,0.7729721069335938,0.5362942926585674,未确认,[],[],net force only,True
zero_v2,5,10,38,0.19,right_hip_roll_link,25,17,98.01532745361328,98.01532745361328,10,0.7729721069335938,0.3987418822944164,未确认,[],[],net force only,True
zero_v2,1,11,43,0.215,left_wrist_yaw_link,7,22,12.042767524719238,12.042767524719238,11,0.7774634957313538,0.5477784387767315,未确认,[],[],net force only,True
zero_v2,1,11,43,0.215,left_hip_roll_link,19,16,12.042767524719238,12.042767524719238,11,0.7774634957313538,0.39822549745440483,未确认,[],[],net force only,True
zero_v2,3,11,41,0.20500000000000002,left_wrist_yaw_link,7,22,26.893970489501953,26.893970489501953,11,0.7688831686973572,0.5593732111155987,未确认,[],[],net force only,True
zero_v2,3,11,41,0.20500000000000002,left_hip_roll_link,19,16,26.893970489501953,26.893970489501953,11,0.7688831686973572,0.39832768961787224,未确认,[],[],net force only,True
zero_v2,4,11,41,0.20500000000000002,right_wrist_yaw_link,14,23,41.75111389160156,41.75111389160156,11,0.7792500853538513,0.5577563159167767,未确认,[],[],net force only,True
zero_v2,4,11,41,0.20500000000000002,right_hip_roll_link,25,17,41.75111389160156,41.75111389160156,11,0.7792500853538513,0.4002390317618847,未确认,[],[],net force only,True
zero_v2,6,11,44,0.22,left_wrist_yaw_link,7,22,46.876434326171875,46.876434326171875,11,0.775601863861084,0.5411971919238567,未确认,[],[],net force only,True
zero_v2,6,11,44,0.22,left_hip_roll_link,19,16,46.876434326171875,46.876434326171875,11,0.775601863861084,0.3909725062549114,未确认,[],[],net force only,True
zero_v2,7,11,42,0.21,right_wrist_yaw_link,14,23,44.381927490234375,44.381927490234375,11,0.7765299677848816,0.5475832931697369,未确认,[],[],net force only,True
zero_v2,7,11,42,0.21,right_hip_roll_link,25,17,44.381927490234375,44.381927490234375,11,0.7765299677848816,0.3939008228480816,未确认,[],[],net force only,True
zero_v2,2,12,48,0.24,right_wrist_yaw_link,14,23,12.848006248474121,12.848006248474121,12,0.7767767310142517,0.5450829975306988,未确认,[],[],net force only,True
zero_v2,2,12,48,0.24,right_hip_roll_link,25,17,12.848006248474121,12.848006248474121,12,0.7767767310142517,0.3744588606059551,未确认,[],[],net force only,True
